team,team_id
"University at Albany, SUNY",2511
Binghamton University,2066
Bryant University,44
University of Maine,2511
"University of Maryland, Baltimore County",2352
University of Massachusetts Lowell,113
University of New Hampshire,160
New Jersey Institute of Technology,
University of Vermont,2511
University of North Carolina at Charlotte,2448
East Carolina University,151
Florida Atlantic University,2226
University of Memphis,104
University of North Texas,2511
Rice University,44
University of South Florida,58
Temple University,2511
University of Alabama at Birmingham,6
University of Texas at San Antonio,2837
Tulane University,2511
University of Tulsa,2511
Wichita State University,2724
Boston College,103
"University of California, Berkeley",25
Clemson University,228
Duke University,2511
Florida State University,52
Georgia Institute of Technology,2247
University of Louisville,2511
University of Miami,2511
University of North Carolina at Chapel Hill,153
North Carolina State University,2448
University of Notre Dame,104
University of Pittsburgh,104
Southern Methodist University,253
Stanford University,112358
Syracuse University,2511
University of Virginia,2511
Virginia Polytechnic Institute and State University,259
Wake Forest University,2511
Austin Peay State University,2046
Bellarmine University,91
University of Central Arkansas,2110
Eastern Kentucky University,2198
Florida Gulf Coast University,526
Jacksonville University,294
Lipscomb University,288
University of North Alabama,2453
University of North Florida,2511
Queens University of Charlotte,2511
Stetson University,104
University of West Georgia,104
Davidson College,2166
University of Dayton,2511
Duquesne University,2184
Fordham University,2230
George Mason University,2244
George Washington University,45
La Salle University,2325
Loyola University Chicago,112358
University of Rhode Island,27
University of Richmond,2511
St. Bonaventure University,179
Saint Joseph's University,2603
Saint Louis University,139
Virginia Commonwealth University,258
Butler University,2511
Creighton University,156
DePaul University,2511
Georgetown University,46
Marquette University,2511
Providence College,2507
St. John's University,2599
Seton Hall University,2550
University of Connecticut,104
Villanova University,222
Xavier University,44
Eastern Washington University,331
University of Idaho,2511
Idaho State University,304
University of Montana,2511
Montana State University,2415
Northern Arizona University,2464
University of Northern Colorado,2458
Portland State University,2502
"California State University, Sacramento",112358
Weber State University,2692
Charleston Southern University,2127
Gardner–Webb University,2241
High Point University,2272
Longwood University,2344
Presbyterian College,2506
Radford University,2515
University of North Carolina at Asheville,2448
University of South Carolina Upstate,2908
Winthrop University,2737
"University of California, Los Angeles",2856
University of Illinois Urbana–Champaign,79
Indiana University Bloomington,44
University of Iowa,2511
"University of Maryland, College Park",27
University of Michigan,27
Michigan State University,127
University of Minnesota,2511
University of Nebraska–Lincoln,2511
Northwestern University,111
Ohio State University,194
University of Oregon,2511
Pennsylvania State University,219
Purdue University,2511
Rutgers University–New Brunswick,2511
University of Southern California,104
University of Washington,2511
University of Wisconsin–Madison,2511
University of Arizona,2511
Arizona State University,9
Baylor University,239
Brigham Young University,104
University of Central Florida,104
University of Cincinnati,2511
University of Colorado Boulder,2458
University of Houston,2511
Iowa State University,2026
University of Kansas,2511
Kansas State University,2306
Oklahoma State University–Stillwater,197
Texas Christian University,44
Texas Tech University,2641
University of Utah,2511
West Virginia University,277
California Polytechnic State University,2856
"California State University, Bakersfield",2934
"California State University, Fullerton",2239
"California State University, Northridge",112358
University of Hawaiʻi at Mānoa,2511
"California State University, Long Beach",112358
"University of California, Davis",2511
"University of California, Irvine",151
"University of California, Riverside",104
"University of California, San Diego",2511
"University of California, Santa Barbara",25
Campbell University,44
College of Charleston,103
Drexel University,2511
Elon University,2511
Hampton University,2261
Hofstra University,2275
Monmouth University,2405
North Carolina Agricultural and Technical State University,2428
Northeastern University,111
Stony Brook University,2619
Towson University,119
University of North Carolina at Wilmington,2448
College of William & Mary,2729
University of Delaware,104
Florida International University,2229
Jacksonville State University,55
Kennesaw State University,338
Liberty University,2335
Louisiana Tech University,2348
Middle Tennessee State University,2393
Missouri State University,2623
New Mexico State University,166
Sam Houston State University,2534
University of Texas at El Paso,2837
Western Kentucky University,98
Cleveland State University,325
University of Detroit Mercy,2174
Indiana University Indianapolis,44
University of Wisconsin-Milwaukee,2511
Northern Kentucky University,94
Oakland University,112358
Purdue University Fort Wayne,2870
Robert Morris University,2523
University of Wisconsin–Green Bay,275
Wright State University,2750
Youngstown State University,2754
Brown University,225
Columbia University,171
Cornell University,172
Dartmouth College,159
Harvard University,44
University of Pennsylvania,2511
Princeton University,163
Yale University,44
Canisius University,44
Fairfield University,2217
Iona University,112358
Manhattan University,2363
Marist University,44
Merrimack College,2771
Mount St. Mary's University,116
Niagara University,44
Quinnipiac University,2511
Rider University,44
Sacred Heart University,2529
Saint Peter's University,2612
Siena University,2511
University of Akron,2511
Ball State University,2026
Bowling Green State University,189
University at Buffalo,2511
Central Michigan University,2117
Eastern Michigan University,2199
Kent State University,204
University of Massachusetts Amherst,113
