season,team,source_name,rank,adjoe,adjde,adj_em,barthag,sos_adj,luck,wab
2020,Kansas Jayhawks,Kansas,1,116.0808,87.722,28.3588,0.961628,0.737553,0.083231,10.8549
2020,Baylor Bears,Baylor,2,114.4528,88.3679,26.0849,0.95141,0.706347,0.059836,8.5367
2020,Gonzaga Bulldogs,Gonzaga,3,121.2645,94.3305,26.934,0.947272,0.56706,0.070769,7.6853
2020,Dayton Flyers,Dayton,4,119.5018,93.3967,26.1052,0.944511,0.588079,0.061178,6.8056
2020,Michigan State Spartans,Michigan St.,5,114.772,91.3165,23.4555,0.93271,0.739091,-0.021661,5.2258
2020,Duke Blue Devils,Duke,6,115.2654,91.9147,23.3508,0.931076,0.678814,0.005908,5.0927
2020,Creighton Bluejays,Creighton,7,120.5855,96.4362,24.1493,0.928905,0.703512,0.027595,6.0981
2020,Ohio State Buckeyes,Ohio St.,8,114.5296,92.6482,21.8814,0.919699,0.719168,-0.029593,3.798
2020,San Diego State Aztecs,San Diego St.,9,113.7742,92.8282,20.9461,0.912125,0.545915,0.107826,6.6416
2020,Louisville Cardinals,Louisville,10,115.1308,93.952,21.1788,0.911958,0.672819,0.017237,4.3381
2020,Villanova Wildcats,Villanova,11,113.9908,93.733,20.2578,0.904665,0.737045,0.099442,6.791
2020,Arizona Wildcats,Arizona,12,110.8612,91.2078,19.6535,0.90414,0.689062,-0.087595,0.8106
2020,Houston Cougars,Houston,13,112.0481,92.1947,19.8534,0.904027,0.659529,-0.024524,2.6717
2020,Michigan Wolverines,Michigan,14,113.0148,93.1239,19.8909,0.902583,0.740074,-0.026656,2.8006
2020,Penn State Nittany Lions,Penn St.,15,111.4299,91.8742,19.5556,0.901962,0.706967,-0.00233,3.3995
2020,West Virginia Mountaineers,West Virginia,16,107.415,88.609,18.806,0.901444,0.74564,-0.004759,3.3766
2020,BYU Cougars,BYU,17,115.8831,95.9868,19.8964,0.89718,0.614818,-0.001588,2.7424
2020,Oregon Ducks,Oregon,18,117.4946,97.3728,20.1218,0.89662,0.692798,0.053922,4.76
2020,Wisconsin Badgers,Wisconsin,19,110.8996,92.0334,18.8662,0.895149,0.735148,0.034261,4.1858
2020,Florida State Seminoles,Florida St.,20,111.1632,92.5071,18.6561,0.892133,0.686506,0.130204,6.8538
2020,Seton Hall Pirates,Seton Hall,21,112.2311,93.4462,18.7848,0.891533,0.735395,0.057281,4.6563
2020,Texas Tech,Texas Tech,22,109.9126,91.7053,18.2073,0.889212,0.671026,-0.092311,-0.384
2020,Purdue Boilermakers,Purdue,23,109.5807,91.6104,17.9703,0.886938,0.750946,-0.108629,-0.545
2020,Butler Bulldogs,Butler,24,112.6557,94.5924,18.0633,0.881815,0.716561,0.069234,4.4998
2020,Providence Friars,Providence,25,109.3253,91.8333,17.492,0.881327,0.694051,-0.061993,0.3395
2020,Maryland Terrapins,Maryland,26,112.6629,94.738,17.9249,0.880037,0.725059,0.149514,6.8553
2020,Minnesota Golden Gophers,Minnesota,27,111.9162,94.3986,17.5176,0.876271,0.753372,-0.117734,-1.519
2020,Kentucky Wildcats,Kentucky,28,112.7876,95.1924,17.5952,0.875498,0.654747,0.103352,5.0711
2020,Illinois Fighting Illini,Illinois,29,110.9137,93.8483,17.0654,0.872287,0.680195,0.043711,3.0085
2020,Rutgers Scarlet Knights,Rutgers,30,107.5017,91.0372,16.4646,0.871216,0.677262,-0.002151,1.5816
2020,Iowa Hawkeyes,Iowa,31,117.1916,99.6881,17.5034,0.865329,0.737721,0.056693,3.3426
2020,Florida Gators,Florida,32,112.6377,95.9088,16.7289,0.864005,0.714463,-0.044454,0.1691
2020,Marquette Golden Eagles,Marquette,33,113.9705,97.4299,16.5406,0.858547,0.725917,0.00155,1.2288
2020,Virginia Cavaliers,Virginia,34,99.9524,85.5956,14.3567,0.85609,0.663818,0.092698,3.7934
2020,Wichita State Shockers,Wichita St.,35,105.2306,90.1825,15.0481,0.855037,0.628116,0.031672,1.921
2020,Indiana Hoosiers,Indiana,36,108.0544,93.2826,14.7718,0.844292,0.723333,0.0408,1.8709
2020,Oklahoma Sooners,Oklahoma,37,108.2012,93.4218,14.7793,0.844089,0.740965,0.051098,2.1333
2020,Utah State Aggies,Utah St.,38,109.3456,94.4484,14.8972,0.843472,0.533672,0.022524,1.2116
2020,Auburn Tigers,Auburn,39,111.066,96.0546,15.0114,0.841562,0.673757,0.134405,4.6077
2020,Xavier Musketeers,Xavier,40,106.399,92.1578,14.2411,0.839225,0.726752,-0.000866,0.3347
2020,Saint Mary's,Saint Mary's,41,114.0216,98.8146,15.207,0.838368,0.604923,0.077804,2.8374
2020,Colorado Buffaloes,Colorado,42,108.9225,94.4244,14.4981,0.837892,0.675425,0.012847,0.6883
2020,LSU Tigers,LSU,43,118.262,102.5234,15.7386,0.837852,0.676072,0.019156,0.8808
2020,Syracuse Orange,Syracuse,44,113.4597,98.568,14.8916,0.834526,0.660841,-0.089378,-2.7185
2020,Stanford Cardinal,Stanford,45,104.2107,90.7,13.5107,0.831579,0.626856,-0.047546,-1.5016
2020,NC State Wolfpack,N.C. State,46,110.6063,96.5382,14.0681,0.82699,0.660415,-0.010488,0.0
2020,Richmond,Richmond,47,108.546,94.8736,13.6725,0.824659,0.557143,0.044318,1.1587
2020,Cincinnati Bearcats,Cincinnati,48,108.49,94.9391,13.5509,0.822643,0.66149,0.017947,0.2205
2020,Mississippi State Bulldogs,Mississippi St.,49,113.5842,99.7911,13.7931,0.815906,0.659788,0.002754,-0.4989
2020,Saint Louis Billikens,Saint Louis,50,106.5501,93.8059,12.7442,0.81229,0.536401,0.019988,0.0431
2020,Georgia Tech Yellow Jackets,Georgia Tech,51,103.5631,91.281,12.282,0.810265,0.693085,-0.035303,-1.9293
2020,Arkansas Razorbacks,Arkansas,52,108.86,96.0547,12.8053,0.808325,0.666857,-0.010852,-1.2657
2020,Oklahoma State Cowboys,Oklahoma St.,53,107.1961,94.6818,12.5143,0.806525,0.734499,0.0309,-0.0109
2020,Washington Huskies,Washington,54,105.5127,93.2833,12.2293,0.804817,0.677053,-0.125119,-5.0319
2020,Notre Dame Fighting Irish,Notre Dame,55,111.1949,98.5308,12.664,0.800675,0.621969,-0.002313,-1.1319
2020,UConn Huskies,Connecticut,56,108.6306,96.2973,12.3333,0.799936,0.616869,-0.036429,-2.2313
2020,USC,USC,57,103.6415,91.9142,11.7273,0.799143,0.650215,0.096542,1.8078
2020,St. John's Red Storm,St. John's,58,106.7432,94.6889,12.0543,0.798675,0.670373,-0.041333,-2.4995
2020,Arizona State Sun Devils,Arizona St.,59,106.1185,94.379,11.7396,0.793842,0.690086,0.077731,0.9457
2020,Alabama Crimson Tide,Alabama,60,111.4459,99.1873,12.2585,0.792503,0.694727,-0.072419,-3.778
2020,Tennessee Volunteers,Tennessee,61,107.2552,95.5195,11.7356,0.791274,0.684678,-0.019369,-2.103
2020,South Carolina Gamecocks,South Carolina,62,105.5026,93.9624,11.5402,0.791199,0.641658,-0.03177,-2.4634
